P,T,vlexp,Tc,Pc,w
0.3317,193.15,34.7,373.4,89.63,0.09
0.4508,198.15,35
0.6024,203.15,35.3
0.7923,208.15,35.6
1.013,212.88,35.9
1.0181,212.97,35.9
1.0272,213.15,35.9
1.3141,218.15,36.3
2.0742,228.15,37
3.1382,238.15,37.7
3.806,243.15,38.1
6.4664,258.15,39.4
8.886,268.15,40.4
11.919,278.15,41.4
15.649,288.15,42.5
20.164,298.15,43.8
22.744,303.15,44.5
31.91,318.15,46.9
